,Open,High,Close,Volume,MA5,MA10,MA20,VMA5,VMA10,VMA20,price_change
988,-0.33326317556496154,-0.33666250708678314,-0.334017646976731,-0.35314042176846727,-0.3392821944905362,-0.3500831224626766,-0.3493859078450636,-0.25466939514798215,-0.20199318369904373,-0.22592209178202316,0.0251971212468296
987,-0.3343857289217754,-0.3329777115163389,-0.3283876868900195,-0.19124922548275602,-0.3356011401467335,-0.34663190233663665,-0.3488261376383097,-0.2980189290961621,-0.2082222087397827,-0.22114463609992108,11.378068814307387
986,-0.3277402130494377,-0.3322793833235532,-0.33072352139408057,-0.4497653211531546,-0.3335764104995321,-0.34329452454114295,-0.34795388526794624,-0.3178239639851951,-0.22003108464923815,-0.24602284793843032,-6.122940225302028
985,-0.32991048287261093,-0.33392862650225996,-0.33371818101467177,-0.3335262266924317,-0.33215370845453107,-0.3407720181642977,-0.3468508307239815,-0.3414198000544686,-0.22765404165272007,-0.2597223816858365,-7.594090223827003
984,-0.3286382557348886,-0.3329479954230289,-0.3347064186894668,-0.3262807781912329,-0.3321986358875312,-0.3377087607173569,-0.3456938224251487,-0.33074582096462657,-0.2538122260517123,-0.2681365509592275,-3.1825553354440324
983,-0.33522390209486297,-0.33935181353134114,-0.33593422913390925,-0.3669929156481596,-0.33258201664913145,-0.3357794327996747,-0.34492648013369487,-0.33351651255421266,-0.29340722472028424,-0.282018484561391,-3.716180281904329
982,-0.33601717313367807,-0.32776253714042813,-0.3230422194672643,-0.02694204255643695,-0.33151274374373063,-0.33340372311221833,-0.34350494856446834,-0.3006527889679551,-0.2986552229412318,-0.2643626470877861,27.272690408139738
981,-0.32130424047037176,-0.3262618744282715,-0.3267406240986944,-0.1972490093542859,-0.33071603059853016,-0.33199267738360305,-0.34241538245922054,-0.25014601181932217,-0.28328943973543763,-0.2684779776964672,-9.055294612922577
980,-0.32700681152298594,-0.327643672767188,-0.3231919524482938,1.1841066720789812,-0.3286104315719286,-0.330228121260133,-0.34131232791525556,0.05340169195331357,-0.14317753107520548,-0.18088328091843742,6.730025020228245
979,-0.32868315786916125,-0.32953064469237514,-0.3356497364699531,-0.10674896258822031,-0.3287991267905288,-0.33034495944148334,-0.3407016013844598,0.09731111074970289,-0.11585932054944348,-0.1632204416277071,-28.31761522685283
978,-0.33591240148704216,-0.33807402151900967,-0.3353951904022028,-0.2532125019786581,-0.3286913009513287,-0.3304827685784605,-0.33993500845071245,0.12006877719963116,-0.10585612528948551,-0.1523752061874093,-0.4367183041802781
977,-0.3358674993527695,-0.3407187538236025,-0.34259734678972453,-0.169165299364752,-0.3326029827845315,-0.33190429978488933,-0.338919628758408,0.09162214622439402,-0.10364543356759703,-0.1543880523062292,-17.021474307800695
